X,Y,Z,ROCK_TYPE,POROSITY,PERMEABILITY
12.0,12.0,11.0,sandstone,0.0576,2.88e-13
12.0,12.0,31.0,sandstone,0.0144,7.2e-14
12.0,12.0,51.0,unknown,0.0,0.0
12.0,32.0,11.0,sandstone,0.0864,4.32e-13
12.0,32.0,31.0,sandstone,0.0216,1.08e-13
12.0,32.0,51.0,unknown,0.0,0.0
12.0,52.0,11.0,unknown,0.0,0.0
12.0,52.0,31.0,unknown,0.0,0.0
12.0,52.0,51.0,unknown,0.0,0.0
12.0,72.0,11.0,unknown,0.0,0.0
12.0,72.0,31.0,unknown,0.0,0.0
12.0,72.0,51.0,unknown,0.0,0.0
12.0,92.0,11.0,unknown,0.0,0.0
12.0,92.0,31.0,unknown,0.0,0.0
12.0,92.0,51.0,unknown,0.0,0.0
32.0,12.0,11.0,sandstone,0.0864,4.32e-13
32.0,12.0,31.0,sandstone,0.0216,1.08e-13
32.0,12.0,51.0,unknown,0.0,0.0
32.0,32.0,11.0,sandstone,0.1296,6.48e-13
32.0,32.0,31.0,sandstone,0.0324,1.62e-13
32.0,32.0,51.0,unknown,0.0,0.0
32.0,52.0,11.0,unknown,0.0,0.0
32.0,52.0,31.0,unknown,0.0,0.0
32.0,52.0,51.0,unknown,0.0,0.0
32.0,72.0,11.0,unknown,0.0,0.0
32.0,72.0,31.0,unknown,0.0,0.0
32.0,72.0,51.0,unknown,0.0,0.0
32.0,92.0,11.0,unknown,0.0,0.0
32.0,92.0,31.0,unknown,0.0,0.0
32.0,92.0,51.0,unknown,0.0,0.0
52.0,12.0,11.0,unknown,0.0,0.0
52.0,12.0,31.0,unknown,0.0,0.0
52.0,12.0,51.0,unknown,0.0,0.0
52.0,32.0,11.0,unknown,0.0,0.0
52.0,32.0,31.0,unknown,0.0,0.0
52.0,32.0,51.0,unknown,0.0,0.0
52.0,52.0,11.0,unknown,0.0,0.0
52.0,52.0,31.0,limestone,0.0008,4e-16
52.0,52.0,51.0,limestone,0.0002,1e-16
52.0,72.0,11.0,unknown,0.0,0.0
52.0,72.0,31.0,limestone,0.008,4e-15
52.0,72.0,51.0,limestone,0.002,1e-15
52.0,92.0,11.0,unknown,0.0,0.0
52.0,92.0,31.0,limestone,0.0032,1.6e-15
52.0,92.0,51.0,limestone,0.0008,4e-16
72.0,12.0,11.0,unknown,0.0,0.0
72.0,12.0,31.0,unknown,0.0,0.0
72.0,12.0,51.0,unknown,0.0,0.0
72.0,32.0,11.0,unknown,0.0,0.0
72.0,32.0,31.0,unknown,0.0,0.0
72.0,32.0,51.0,unknown,0.0,0.0
72.0,52.0,11.0,unknown,0.0,0.0
72.0,52.0,31.0,limestone,0.008,4e-15
72.0,52.0,51.0,limestone,0.002,1e-15
72.0,72.0,11.0,unknown,0.0,0.0
72.0,72.0,31.0,limestone,0.08,4e-14
72.0,72.0,51.0,limestone,0.02,1e-14
72.0,92.0,11.0,unknown,0.0,0.0
72.0,92.0,31.0,limestone,0.032,1.6e-14
72.0,92.0,51.0,limestone,0.008,4e-15
92.0,12.0,11.0,unknown,0.0,0.0
92.0,12.0,31.0,unknown,0.0,0.0
92.0,12.0,51.0,unknown,0.0,0.0
92.0,32.0,11.0,unknown,0.0,0.0
92.0,32.0,31.0,unknown,0.0,0.0
92.0,32.0,51.0,unknown,0.0,0.0
92.0,52.0,11.0,unknown,0.0,0.0
92.0,52.0,31.0,limestone,0.0032,1.6e-15
92.0,52.0,51.0,limestone,0.0008,4e-16
92.0,72.0,11.0,unknown,0.0,0.0
92.0,72.0,31.0,limestone,0.032,1.6e-14
92.0,72.0,51.0,limestone,0.008,4e-15
92.0,92.0,11.0,unknown,0.0,0.0
92.0,92.0,31.0,limestone,0.0128,6.4e-15
92.0,92.0,51.0,limestone,0.0032,1.6e-15
