X,Y,Z,ROCK_TYPE,POROSITY,PERMEABILITY
25.0,25.0,25.0,unknown,0.0,0.0
25.0,25.0,75.0,unknown,0.0,0.0
25.0,25.0,125.0,unknown,0.0,0.0
25.0,25.0,175.0,unknown,0.0,0.0
25.0,75.0,25.0,unknown,0.0,0.0
25.0,75.0,75.0,unknown,0.0,0.0
25.0,75.0,125.0,unknown,0.0,0.0
25.0,75.0,175.0,unknown,0.0,0.0
25.0,125.0,25.0,unknown,0.0,0.0
25.0,125.0,75.0,unknown,0.0,0.0
25.0,125.0,125.0,unknown,0.0,0.0
25.0,125.0,175.0,unknown,0.0,0.0
25.0,175.0,25.0,unknown,0.0,0.0
25.0,175.0,75.0,unknown,0.0,0.0
25.0,175.0,125.0,unknown,0.0,0.0
25.0,175.0,175.0,unknown,0.0,0.0
25.0,225.0,25.0,unknown,0.0,0.0
25.0,225.0,75.0,unknown,0.0,0.0
25.0,225.0,125.0,unknown,0.0,0.0
25.0,225.0,175.0,unknown,0.0,0.0
25.0,275.0,25.0,unknown,0.0,0.0
25.0,275.0,75.0,unknown,0.0,0.0
25.0,275.0,125.0,unknown,0.0,0.0
25.0,275.0,175.0,unknown,0.0,0.0
25.0,325.0,25.0,unknown,0.0,0.0
25.0,325.0,75.0,unknown,0.0,0.0
25.0,325.0,125.0,unknown,0.0,0.0
25.0,325.0,175.0,unknown,0.0,0.0
25.0,375.0,25.0,unknown,0.0,0.0
25.0,375.0,75.0,unknown,0.0,0.0
25.0,375.0,125.0,unknown,0.0,0.0
25.0,375.0,175.0,unknown,0.0,0.0
25.0,425.0,25.0,unknown,0.0,0.0
25.0,425.0,75.0,unknown,0.0,0.0
25.0,425.0,125.0,unknown,0.0,0.0
25.0,425.0,175.0,unknown,0.0,0.0
25.0,475.0,25.0,unknown,0.0,0.0
25.0,475.0,75.0,unknown,0.0,0.0
25.0,475.0,125.0,unknown,0.0,0.0
25.0,475.0,175.0,unknown,0.0,0.0
25.0,525.0,25.0,unknown,0.0,0.0
25.0,525.0,75.0,unknown,0.0,0.0
25.0,525.0,125.0,unknown,0.0,0.0
25.0,525.0,175.0,unknown,0.0,0.0
25.0,575.0,25.0,unknown,0.0,0.0
25.0,575.0,75.0,unknown,0.0,0.0
25.0,575.0,125.0,unknown,0.0,0.0
25.0,575.0,175.0,unknown,0.0,0.0
25.0,625.0,25.0,unknown,0.0,0.0
25.0,625.0,75.0,unknown,0.0,0.0
